x,y,z
13.4,-3.4,-43.1
12.7,-4.8,-46.0
13.1,-6.6,-44.2
12.4,-5.9,-44.2
12.0,-6.9,-44.6
12.4,-7.3,-42.7
11.7,-7.3,-44.9
11.7,-5.9,-44.9
12.7,-4.8,-44.6
13.8,-6.6,-45.7
12.7,-6.2,-43.8
12.0,-6.2,-43.8
10.6,-6.9,-46.8
11.3,-6.9,-45.3
13.1,-7.3,-45.7
11.0,-8.0,-44.9
13.1,-7.3,-44.2
11.0,-6.6,-44.9
10.6,-6.9,-43.8
9.9,-7.6,-46.0
8.2,-5.9,-47.1
9.6,-8.7,-45.7
9.9,-6.9,-46.0
8.5,-6.9,-45.3
9.2,-6.9,-46.8
8.5,-6.9,-47.5
6.1,-5.9,-46.4
6.1,-4.5,-45.7
5.0,-6.2,-45.3
5.0,-6.9,-45.3
5.0,-6.9,-45.3
4.0,-7.3,-45.7
4.3,-6.9,-45.3
2.6,-5.9,-45.7
4.3,-4.8,-46.0
2.6,-7.3,-46.4
0.1,-5.5,-46.1
1.9,-6.6,-47.1
1.5,-5.5,-43.9
1.9,-7.3,-45.7
2.9,-7.6,-44.6
0.5,-7.3,-45.7
0.8,-8.3,-46.8
0.8,-6.9,-46.8
1.2,-8.0,-47.1
1.2,-9.4,-45.7
2.2,-7.6,-46.0
1.5,-8.3,-46.8
3.3,-10.1,-44.2
3.6,-9.0,-46.0
4.0,-10.8,-46.4
6.8,-10.1,-44.9
4.3,-11.1,-44.6
5.4,-10.1,-44.9
3.6,-10.4,-47.5
4.0,-10.8,-47.1
5.7,-9.0,-46.0
6.8,-7.3,-46.4
8.2,-6.6,-45.7
9.6,-6.6,-45.7
11.7,-5.1,-45.7
10.6,-4.8,-43.9
11.0,-3.0,-44.9
11.7,-2.3,-46.4
12.7,-4.8,-46.0
11.7,-5.1,-45.7
11.0,-5.2,-44.2
11.3,-8.3,-44.6
9.2,-9.7,-44.6
6.1,-8.0,-44.2
5.4,-9.4,-44.9
5.0,-11.1,-47.5
2.6,-11.5,-45.7
0.1,-10.4,-44.6
-1.3,-13.3,-45.3
-1.6,-14.3,-44.9
-0.9,-10.8,-45.0
-0.6,-9.7,-46.8
-0.9,-10.8,-45.7
-2.3,-10.8,-43.5
-5.1,-11.5,-46.4
-7.9,-10.1,-44.2
-9.0,-10.5,-44.6
-10.0,-12.2,-45.0
-10.4,-13.3,-43.1
-11.8,-13.3,-43.1
-12.8,-12.9,-41.3
-11.8,-14.0,-43.1
-13.2,-13.3,-41.7
-13.9,-16.1,-41.7
-15.3,-16.1,-39.5
-16.3,-17.9,-39.9
-14.6,-18.9,-40.9
-16.3,-20.7,-38.4
-17.0,-19.3,-39.1
-16.7,-21.7,-37.3
-16.7,-21.7,-37.3
-18.4,-22.8,-36.9
-16.7,-23.8,-38.0
-18.1,-24.5,-35.8
-17.0,-24.2,-33.3
-18.8,-26.0,-35.8
-20.5,-27.0,-31.8
-19.1,-27.7,-34.0
-19.1,-30.5,-31.8
-19.5,-28.8,-30.7
-18.4,-31.2,-32.5
-18.4,-31.2,-30.4
-18.4,-31.2,-31.1
-19.1,-31.9,-30.4
-18.8,-31.6,-28.5
-18.4,-32.6,-28.2
-18.8,-34.4,-27.1
-20.2,-34.4,-24.1
-20.5,-35.5,-23.8
-20.2,-37.9,-22.7
-21.2,-36.9,-19.4
-22.3,-38.6,-17.6
-23.3,-38.3,-13.6
-21.9,-38.3,-12.8
-21.9,-39.0,-12.1
-24.0,-38.3,-12.1
-23.3,-38.3,-9.2
-26.1,-39.7,-8.5
-25.8,-39.4,-5.9
-28.5,-37.3,-5.9
-28.2,-38.3,-3.4
-28.5,-37.3,-0.8
-27.1,-38.0,2.1
-27.8,-39.4,2.8
-28.2,-38.3,3.2
-26.4,-39.4,7.9
-24.7,-38.3,7.6
-26.8,-39.0,8.3
-25.0,-39.4,10.1
-25.4,-36.9,9.0
-24.0,-38.3,12.0
-22.6,-40.5,13.4
-21.2,-38.3,15.6
-21.9,-39.1,17.1
-20.1,-38.0,20.4
-19.8,-36.9,20.7
-20.5,-36.9,20.0
-20.1,-38.0,23.3
-20.1,-37.3,21.1
-19.1,-35.5,23.6
-19.8,-35.5,25.1
-18.0,-33.8,28.4
-19.4,-34.5,27.6
-19.4,-31.7,29.1
-16.9,-31.3,32.4
-17.6,-31.3,30.2
-17.6,-29.2,31.6
-17.3,-28.2,32.0
-16.9,-26.4,33.8
-16.9,-28.5,33.1
-14.5,-26.8,35.7
-13.8,-24.7,35.7
-12.0,-26.4,36.0
-11.3,-27.1,36.8
-10.6,-26.4,38.2
-9.2,-25.0,39.7
-11.0,-24.0,38.6
-8.5,-25.0,40.4
-9.9,-25.0,38.9
-10.3,-24.7,39.3
-9.2,-24.3,38.2
-10.6,-25.0,38.9
-9.2,-25.0,38.2
-8.2,-24.0,38.6
-9.2,-24.3,39.7
-8.9,-25.4,40.8
-6.8,-24.0,40.0
-7.1,-23.6,39.7
-6.4,-24.3,40.4
-8.2,-24.0,42.2
-11.3,-22.2,39.7
-10.3,-24.0,37.9
-11.3,-22.2,38.2
-12.0,-21.5,39.7
-16.2,-22.9,37.5
-19.0,-22.2,36.7
-21.5,-21.9,37.1
-21.1,-21.5,37.5
-23.2,-18.7,37.5
-22.5,-19.4,35.3
-24.3,-19.7,32.7
-24.3,-17.6,33.4
-25.0,-19.0,34.2
-26.4,-17.6,32.7
-27.8,-15.5,32.7
-28.5,-14.1,32.7
-30.9,-15.2,32.3
-29.5,-11.7,30.9
-32.7,-12.0,31.2
-33.4,-10.6,30.5
-35.5,-11.3,26.9
-37.2,-8.2,25.7
-39.3,-8.9,25.0
-40.7,-7.5,23.6
-39.7,-6.4,21.7
-41.8,-6.4,18.1
-43.2,-7.8,15.9
-44.2,-8.1,14.1
-43.2,-7.8,13.0
-43.9,-5.7,11.5
-47.7,-5.3,9.7
-45.3,-7.1,4.2
-45.3,-7.1,5.7
-44.9,-6.7,3.1
-47.7,-7.4,0.2
-47.0,-6.7,-2.7
-44.6,-7.8,-5.3
-44.6,-8.5,-10.4
-43.9,-9.9,-11.8
-42.2,-10.9,-12.2
-42.9,-8.8,-15.8
-41.8,-10.5,-18.4
-41.8,-9.8,-20.6
-39.4,-10.9,-22.4
-39.0,-10.5,-24.9
-37.3,-10.9,-26.0
-35.5,-8.4,-29.3
-34.1,-10.5,-31.5
-31.0,-10.2,-34.1
-30.3,-10.9,-36.2
-25.8,-9.8,-37.3
-23.0,-11.2,-40.2
-22.6,-11.5,-39.1
-19.1,-10.8,-42.1
-14.9,-10.8,-44.2
-12.1,-10.1,-43.5
-10.7,-11.5,-43.5
-8.3,-9.7,-45.3
-5.5,-10.4,-45.3
-1.3,-9.0,-45.3
2.6,-10.8,-45.7
4.7,-10.8,-46.4
5.7,-11.1,-46.0
7.5,-11.5,-44.9
11.7,-10.8,-44.9
13.4,-12.5,-43.8
14.1,-13.2,-42.4
18.7,-15.7,-42.7
21.8,-15.3,-38.7
26.4,-17.1,-36.1
28.5,-17.1,-31.8
30.6,-18.5,-31.0
33.4,-19.2,-28.1
34.8,-17.1,-25.9
37.6,-16.4,-23.0
40.0,-17.5,-19.0
41.8,-17.8,-16.4
42.5,-19.2,-12.8
41.8,-15.7,-9.9
45.0,-16.1,-5.8
45.0,-16.8,-4.4
43.6,-16.1,-2.9
44.3,-17.5,-0.0
45.0,-16.1,2.9
42.9,-16.8,5.8
44.6,-17.8,9.1
42.2,-16.8,10.9
41.5,-18.9,13.1
40.4,-19.3,17.1
39.4,-18.9,18.2
37.3,-20.3,21.1
35.5,-22.1,21.5
31.7,-23.2,24.8
31.7,-23.9,25.5
28.6,-23.5,28.1
26.8,-26.0,29.9
24.0,-26.7,29.9
23.7,-26.3,30.2
22.3,-26.4,30.2
21.9,-28.1,29.9
20.5,-27.4,32.1
19.8,-29.5,33.5
19.1,-28.8,31.3
16.7,-27.8,31.7
17.4,-29.9,31.7
17.0,-30.2,29.9
16.3,-31.6,32.8
14.2,-29.5,32.1
13.8,-32.0,30.2
12.8,-32.3,31.3
11.7,-32.7,30.2
12.8,-32.3,32.1
11.7,-32.7,31.7
11.7,-33.4,31.0
11.4,-35.2,31.3
10.7,-34.5,30.6
11.0,-34.1,29.5
11.0,-33.4,31.7
9.6,-33.4,29.5
11.4,-33.8,30.6
12.1,-33.7,29.1
12.4,-34.1,31.0
13.1,-33.4,30.2
12.1,-33.8,31.3
13.5,-33.7,31.3
13.5,-31.6,32.1
14.2,-33.0,31.3
14.2,-31.6,31.3
15.9,-32.7,32.4
16.3,-29.5,32.1
17.0,-29.5,31.3
19.1,-29.5,30.6
20.2,-28.5,31.0
22.3,-26.4,31.7
25.8,-27.8,33.2
25.8,-23.5,31.7
25.8,-24.9,30.2
26.5,-23.5,29.5
28.9,-21.8,29.9
29.6,-23.2,27.7
32.8,-20.0,27.3
34.2,-18.6,28.1
37.7,-16.5,24.4
36.3,-15.1,23.7
39.1,-14.4,22.2
39.4,-12.6,20.4
41.5,-12.6,18.9
40.8,-12.6,16.0
43.2,-13.6,15.7
42.2,-13.3,13.8
45.0,-11.9,12.4
47.1,-11.9,7.3
44.3,-11.9,2.2
45.7,-11.9,0.7
43.9,-13.6,-0.4
43.9,-15.7,-4.8
42.9,-16.1,-8.8
41.8,-19.9,-11.3
41.8,-19.2,-13.5
39.7,-19.2,-16.4
38.6,-18.9,-19.7
36.9,-20.6,-20.1
33.4,-20.6,-23.7
30.9,-21.0,-27.7
28.5,-22.0,-31.0
24.3,-19.2,-33.2
22.5,-18.9,-35.8
15.9,-19.2,-39.8
11.0,-17.8,-42.0
10.3,-15.7,-42.0
7.1,-16.1,-43.8
4.7,-19.9,-43.5
2.9,-18.9,-43.1
1.2,-20.6,-42.0
-0.9,-19.2,-42.7
-3.0,-18.5,-40.6
-6.9,-21.0,-41.7
-9.3,-22.8,-42.0
-10.0,-24.2,-39.8
-12.8,-22.8,-37.7
-16.3,-23.5,-36.9
-18.4,-22.1,-38.4
-21.9,-24.9,-36.2
-23.0,-23.1,-32.9
-25.8,-23.2,-31.5
-26.8,-22.8,-28.9
-28.9,-24.2,-26.0
-31.4,-23.2,-27.8
-32.8,-24.6,-23.5
-33.1,-25.6,-20.9
-33.1,-24.9,-20.2
-36.6,-25.7,-18.7
-37.3,-23.6,-15.8
-38.0,-25.0,-13.6
-38.0,-26.4,-11.4
-37.6,-26.7,-8.1
-37.6,-26.7,-9.6
-39.0,-28.1,-6.7
-36.2,-30.2,-5.9
-36.2,-28.8,-3.8
-35.9,-29.2,-4.1
-36.9,-28.8,-3.8
-36.9,-28.1,-3.0
-38.3,-28.8,-1.6
-37.6,-27.4,-1.6
-37.6,-26.7,-3.0
-38.0,-27.1,-1.2
-42.2,-24.3,-1.2
-40.4,-23.9,-0.9
-40.1,-22.9,-0.5
-42.5,-22.5,0.6
-41.5,-20.1,0.2
-42.9,-18.7,1.0
-44.6,-16.2,0.6
-46.0,-14.8,1.3
-44.6,-11.3,0.6
-44.9,-8.1,-0.5
-46.7,-8.5,0.6
-45.3,-8.5,4.2
-44.9,-9.5,4.6
-44.9,-12.3,5.3
-42.1,-15.2,9.7
-43.9,-14.8,11.5
-41.8,-16.2,11.5
-37.9,-19.4,16.3
-39.3,-18.0,18.5
-36.9,-22.6,18.8
-37.6,-21.2,21.0
-34.1,-24.7,22.5
-31.6,-24.3,22.9
-31.6,-24.3,22.9
-30.9,-24.3,22.9
-32.3,-25.7,22.9
-30.6,-25.4,24.7
-28.5,-24.7,28.3
-27.1,-26.8,28.3
