x,y,z
8.1,-3.9,-24.9
7.8,-4.8,-25.2
8.4,-5.4,-24.0
6.9,-3.9,-25.5
7.8,-5.4,-25.8
7.5,-3.9,-25.5
8.4,-5.4,-24.6
7.5,-5.1,-26.1
7.5,-4.5,-24.9
7.8,-5.4,-26.4
7.5,-5.1,-25.5
6.9,-5.1,-26.1
7.8,-5.4,-24.0
8.7,-3.9,-25.5
7.2,-5.4,-25.2
7.5,-4.5,-26.7
9.0,-4.2,-25.2
8.7,-4.5,-24.9
8.1,-5.7,-26.1
8.1,-4.5,-26.1
7.8,-4.8,-25.2
6.6,-3.6,-26.4
9.0,-4.2,-24.6
8.7,-5.7,-25.5
7.5,-4.5,-26.7
7.8,-6.0,-25.8
8.7,-3.9,-26.7
8.4,-4.8,-24.6
8.1,-6.3,-26.1
6.9,-5.1,-25.5
7.5,-3.9,-25.5
8.7,-4.5,-26.1
6.9,-2.7,-25.5
7.2,-4.2,-24.6
8.4,-3.6,-24.6
9.0,-3.6,-25.2
9.9,-3.3,-24.9
9.9,-3.9,-25.5
7.5,-3.3,-26.1
9.0,-3.0,-25.2
9.0,-2.4,-26.4
9.0,-4.8,-26.4
8.7,-2.1,-27.3
9.3,-2.7,-26.7
10.2,-2.4,-25.2
9.0,-3.6,-25.2
8.7,-2.7,-25.5
8.7,-0.9,-27.3
8.1,-3.9,-26.1
8.4,-3.6,-25.2
9.0,-2.4,-25.8
8.7,-4.5,-26.7
9.0,-1.8,-25.2
8.4,-3.0,-25.8
9.0,-1.2,-26.4
9.0,-3.0,-25.8
9.0,-0.6,-24.6
7.8,-3.0,-24.6
7.5,-4.5,-26.7
11.7,-2.1,-26.1
8.1,-3.3,-26.1
10.2,-3.0,-25.2
9.3,-3.9,-25.5
8.4,-4.8,-25.8
9.3,-3.9,-23.7
9.3,-3.9,-24.9
8.7,-2.1,-25.5
9.3,-4.5,-26.7
7.8,-4.2,-25.2
8.4,-4.2,-26.4
9.3,-3.9,-24.9
7.8,-3.6,-25.8
8.7,-6.3,-24.3
8.4,-4.2,-25.2
9.6,-4.8,-26.4
9.0,-4.2,-25.2
9.0,-3.6,-25.2
10.5,-2.7,-26.7
9.3,-3.9,-26.1
8.7,-4.5,-24.9
9.0,-2.4,-24.6
8.1,-4.5,-26.1
8.1,-2.1,-26.1
9.9,-3.3,-26.7
10.5,-3.9,-26.1
9.9,-3.9,-25.5
9.6,-2.4,-25.8
10.8,-2.4,-25.2
8.1,-2.7,-25.5
10.5,-3.3,-25.5
9.0,-2.4,-26.4
11.1,-2.1,-26.1
9.6,-3.6,-27.6
9.6,-1.8,-26.4
8.1,-3.3,-26.1
8.4,-1.8,-25.8
9.9,-3.3,-26.1
10.2,-1.8,-24.6
8.7,-2.7,-26.1
10.5,-3.3,-26.1
9.6,-3.6,-25.8
9.0,-2.4,-25.8
7.8,-3.6,-25.8
9.6,-2.4,-25.8
9.3,-2.1,-26.1
8.7,-3.9,-25.5
8.7,-2.7,-27.9
9.6,-3.6,-24.6
9.3,-3.3,-26.1
8.7,-3.9,-26.1
9.9,-3.3,-24.3
9.3,-4.5,-26.7
9.6,-3.0,-25.2
10.2,-3.6,-25.8
9.0,-3.6,-24.6
9.6,-3.0,-27.0
7.8,-1.8,-25.2
10.2,-4.8,-25.8
9.6,-4.8,-25.8
11.1,-3.3,-24.9
9.3,-3.9,-25.5
9.0,-3.6,-25.8
8.4,-4.2,-25.8
9.6,-3.6,-25.8
9.9,-2.7,-25.5
9.6,-3.6,-27.0
8.1,-3.9,-24.9
9.0,-4.8,-26.4
8.4,-3.6,-25.8
8.4,-4.2,-25.2
8.1,-3.3,-26.7
9.3,-4.5,-25.5
10.2,0.0,-25.8
10.2,-3.6,-25.2
9.3,-2.1,-26.7
9.6,-1.2,-25.2
12.0,-1.8,-25.8
9.0,0.0,-25.8
9.9,-0.3,-24.3
11.7,-0.3,-26.7
10.5,-0.9,-26.7
9.9,-0.3,-25.5
10.8,1.2,-25.2
9.6,0.6,-25.8
10.2,0.0,-25.8
10.8,0.6,-25.2
11.1,0.3,-24.9
11.4,0.0,-25.8
12.3,-0.3,-26.1
10.2,0.6,-25.8
10.8,0.6,-25.2
9.9,1.5,-26.1
11.1,-0.3,-26.1
9.6,0.0,-27.0
10.8,0.0,-24.6
10.5,-0.3,-26.1
11.4,-1.2,-26.4
9.6,0.6,-25.8
10.8,-1.2,-25.2
11.1,-1.5,-25.5
11.4,0.6,-25.8
10.5,-0.3,-26.1
9.9,0.3,-24.9
12.3,-0.9,-25.5
10.2,-1.2,-26.4
11.4,-3.0,-25.8
10.8,-1.8,-27.0
10.8,-2.4,-23.4
10.8,-3.0,-25.8
10.8,-1.8,-27.6
10.8,-1.2,-25.2
10.5,-2.1,-24.9
12.0,-4.2,-24.6
10.5,-2.7,-25.5
11.1,-2.1,-26.1
9.3,-2.1,-26.1
9.6,-3.6,-25.8
10.8,-1.8,-25.8
8.7,-1.5,-26.1
7.8,-4.2,-24.6
10.2,-3.0,-26.4
10.5,-2.7,-26.7
9.6,-1.8,-27.0
9.3,-0.3,-28.5
7.5,0.9,-27.9
8.7,3.3,-26.1
8.7,2.7,-27.3
8.4,2.4,-27.6
9.3,5.7,-26.7
8.7,6.9,-27.3
7.5,6.3,-26.7
8.7,3.3,-26.1
8.7,0.3,-26.7
8.4,0.6,-27.0
10.5,-1.5,-26.7
8.7,-1.5,-25.5
9.0,-2.4,-25.2
6.6,-0.6,-28.2
6.9,-0.3,-27.3
7.5,-0.3,-27.3
7.2,-1.8,-27.0
7.8,-0.6,-26.4
8.1,-2.1,-25.5
7.5,-2.7,-24.9
7.8,-1.8,-26.4
6.6,-3.0,-27.0
7.2,-3.6,-27.0
6.3,-4.5,-26.1
6.0,-6.0,-26.4
4.8,-4.8,-24.6
5.4,-6.6,-24.0
5.7,-6.9,-25.5
4.2,-4.8,-25.8
5.4,-7.8,-24.6
3.0,-9.0,-25.8
4.2,-7.8,-24.6
5.1,-10.5,-24.3
7.5,-10.5,-23.1
6.0,-12.6,-22.2
7.5,-13.5,-21.9
6.0,-14.4,-19.8
6.6,-16.8,-21.6
5.7,-15.3,-21.3
4.8,-17.4,-20.4
4.8,-18.0,-19.8
3.3,-20.1,-16.5
3.9,-19.5,-18.3
2.7,-20.7,-17.1
2.7,-21.9,-15.3
0.9,-20.7,-14.7
2.7,-23.1,-14.7
1.2,-24.6,-13.8
0.3,-26.7,-11.1
-0.6,-25.2,-11.4
-0.3,-27.3,-9.3
-1.5,-27.3,-9.3
-0.3,-26.7,-7.5
-3.0,-28.8,-7.8
-3.3,-28.5,-6.9
-3.9,-27.3,-7.5
-3.0,-30.6,-6.6
-4.5,-29.1,-4.5
-4.8,-30.0,-3.0
-5.1,-29.1,-2.7
-5.7,-30.3,-0.9
-5.1,-31.5,-1.5
-6.3,-32.1,-0.3
-8.4,-33.0,3.0
-7.8,-33.6,3.0
-6.9,-33.9,4.5
-7.8,-32.4,7.8
-6.0,-31.8,8.4
-8.1,-33.9,9.9
-6.0,-32.4,10.2
-6.9,-32.7,13.5
-8.4,-34.2,15.0
-6.3,-33.3,13.5
-6.9,-32.1,15.9
-5.4,-32.4,19.2
-4.8,-31.8,20.4
-4.5,-32.7,19.5
-3.9,-31.5,20.1
-4.2,-31.2,21.6
-5.4,-30.6,21.0
-4.5,-30.9,23.1
-4.2,-31.2,22.2
-5.4,-31.2,23.4
-2.1,-29.7,25.5
-2.4,-31.2,25.8
-1.5,-30.3,26.1
-1.8,-29.4,28.2
-0.9,-28.5,26.7
-0.3,-29.1,27.9
-1.2,-29.4,29.4
0.3,-29.1,28.5
2.1,-27.9,30.3
1.2,-25.8,30.0
2.4,-28.2,33.0
3.3,-24.9,31.5
4.8,-25.2,31.8
3.9,-24.9,31.5
3.9,-24.3,35.1
4.2,-24.6,34.8
5.1,-23.1,34.5
4.2,-23.4,36.6
4.8,-21.6,36.0
6.3,-20.1,37.5
4.8,-19.2,39.6
7.2,-20.4,38.4
7.2,-19.2,39.6
6.6,-18.0,40.2
5.4,-18.0,40.2
6.9,-17.7,39.9
7.8,-16.2,41.4
