I, --> Sentencia amb algunes dades no vàlides
Estructura --> $MTKG, Latitud, Longitud, Altitud, Vel. Hor. en KM/H, Hora UTC, Satel.lits, Dades GPS valides (V/I), Pressio en Pa, Temp.ext en ºC, Temp.int en ºC, Fotos fetes*Checksum 

-- Meteotek --
 Inicialitzant tasques....
 Inicialitzacio finalitzada. Indicador d'estat: 000F
 Envieu la comanda de bloqueig per parar l'execucio
$MTKG,,,0,,000000,0,I,0,+0.0000,+0.0000,0*70$MTKG,41 29.74635 N,000 09.47856 W,0,,000000,0,I,97955,+4.7500,+2.8750,1*5D$MTKG,41 29.74635 N,000 09.47856 W,0,,000000,0,I,97951,+4.8750,+2.8750,1*51$MTKG,41 29.74712 N,000 09.47786 W,324,000.3,075530,8,V,97949,+5.4375,+2.8750,1*6B$MTKG,41 29.74684 N,000 09.48021 W,324,000.2,075540,9,V,97951,+5.5625,+2.8750,2*6C$MTKG,41 29.74660 N,000 09.47796 W,324,000.1,075550,9,V,97952,+5.5625,+2.8750,2*63$MTKG,41 29.74807 N,000 09.47725 W,324,000.2,075600,9,V,97967,+5.8125,+2.8750,2*6D$MTKG,41 29.74592 N,000 09.47919 W,325,000.3,075615,8,V,97932,+5.8125,+2.8750,3*69$MTKG,41 29.74745 N,000 09.47894 W,325,000.0,075625,9,V,97937,+5.8750,+2.8750,3*65$MTKG,41 29.74607 N,000 09.47856 W,325,000.0,075635,9,V,97946,+5.6875,+2.8750,3*6D$MTKG,41 29.74703 N,000 09.47795 W,325,000.0,075645,9,V,97942,+5.5625,+2.8750,4*64$MTKG,41 29.74637 N,000 09.47810 W,327,000.1,075655,9,V,97943,+5.5000,+2.8750,4*62$MTKG,41 29.74606 N,000 09.47796 W,328,000.1,075705,9,V,97947,+5.6875,+2.9375,4*65$MTKG,41 29.74623 N,000 09.47818 W,329,000.1,075715,8,V,97946,+5.7500,+2.9375,5*64$MTKG,41 29.74663 N,000 09.47825 W,330,000.1,075735,7,V,97948,+6.0000,+2.9375,5*64$MTKG,41 29.74689 N,000 09.48036 W,332,000.1,075745,9,V,97946,+6.0000,+2.9375,6*63$MTKG,41 29.74686 N,000 09.47954 W,330,000.1,075800,9,V,97947,+6.2500,+2.9375,6*64$MTKG,41 29.74733 N,000 09.47874 W,329,000.1,075810,9,V,97945,+6.5000,+2.9375,6*61$MTKG,41 29.74706 N,000 09.47852 W,330,000.0,075820,9,V,97941,+6.6250,+2.9375,7*68$MTKG,41 29.74692 N,000 09.47859 W,330,000.0,075830,9,V,97939,+6.8125,+2.9375,7*6E$MTKG,41 29.74747 N,000 09.47856 W,329,000.0,075840,10,V,97936,+6.8125,+2.9375,7*50$MTKG,41 29.74764 N,000 09.47836 W,329,000.2,075850,10,V,97942,+6.9375,+2.9375,8*5E$MTKG,41 29.74784 N,000 09.47803 W,329,000.1,075900,10,V,97944,+6.9375,+3.0000,8*5E$MTKG,41 29.74798 N,000 09.47795 W,329,000.0,075910,10,V,97943,+7.0625,+3.0000,8*5C$MTKG,41 29.74802 N,000 09.47796 W,329,000.2,075920,9,V,97947,+7.0625,+3.0000,9*6F$MTKG,41 29.74795 N,000 09.47849 W,328,000.3,075935,8,V,97945,+7.3125,+3.0000,9*60$MTKG,41 29.74809 N,000 09.47852 W,328,000.2,075945,9,V,97946,+7.4375,+3.0000,9*64$MTKG,41 29.74792 N,000 09.47846 W,328,000.0,075955,9,V,97943,+7.6250,+3.0000,10*56$MTKG,41 29.74802 N,000 09.47859 W,327,000.0,080005,10,V,97943,+7.8125,+3.0625,10*61$MTKG,41 29.74806 N,000 09.47845 W,327,000.0,080015,10,V,97940,+8.0000,+3.0625,10*6B$MTKG,01 29.74801 N,000 09.47859 W,327,000.0,080025,9,V,97946,+8.8125,+3.0625,11*53$MTKG,41 29.74800 N,000 09.47872 W,326,000.1,080035,10,V,97950,+9.0625,+3.0625,11*6B$MTKG,41 29.74778 N,000 09.47865 W,325,000.1,080045,10,V,97946,+8.9375,+3.1250,12*62$MTKG,41 29.74772 N,000 09.47859 W,324,000.1,080055,11,V,97946,+8.7500,+3.1250,12*6C$MTKG,41 29.74789 N,000 09.47836 W,322,000.6,080105,10,V,97955,+8.5625,+3.1250,12*61$MTKG,41 29.74631 N,000 09.47864 W,323,000.5,080115,11,V,97964,+8.3125,+3.1250,13*64$MTKG,41 29.74826 N,000 09.47842 W,324,000.3,080130,11,V,97970,+8.0625,+3.1250,13*6F$MTKG,41 29.74903 N,000 09.47795 W,324,000.1,080140,10,V,97968,+8.1250,+3.1875,13*6B$MTKG,41 29.74836 N,000 09.47816 W,326,000.0,080150,11,V,97970,+8.0625,+3.1875,14*62$MTKG,41 29.74738 N,000 09.47839 W,327,000.1,080200,10,V,97968,+7.8125,+3.1875,14*60$MTKG,41 29.74841 N,000 09.47729 W,326,000.1,080210,11,V,97972,+7.8750,+3.1875,14*61$MTKG,41 29.74674 N,000 09.47912 W,328,000.1,080220,10,V,97971,+8.0625,+3.1875,15*65$MTKG,41 29.74876 N,000 09.47918 W,328,000.1,080230,11,V,97968,+8.3125,+3.2500,15*63$MTKG,41 29.75053 N,000 09.47851 W,328,000.1,080240,11,V,97966,+8.4375,+3.2500,15*68$MTKG,41 29.74910 N,000 09.47796 W,328,000.1,080250,11,V,97974,+8.5625,+3.2500,16*63$MTKG,41 29.74777 N,000 09.47908 W,327,000.1,080305,11,V,97970,+8.4375,+3.2500,16*6E$MTKG,41 29.74875 N,000 09.47900 W,326,000.2,080315,11,V,97973,+8.7500,+3.3125,16*6E$MTKG,41 29.74817 N,000 09.47882 W,327,000.3,080325,10,V,97968,+8.9375,+3.3125,17*62$MTKG,41 29.74813 N,000 09.47829 W,326,000.2,080335,10,V,97968,+9.1875,+3.3125,17*64$MTKG,41 29.74798 N,000 09.47877 W,327,000.1,080345,11,V,97970,+8.8125,+3.3750,17*6E$MTKG,41 29.74955 N,000 09.47839 W,327,000.1,080355,11,V,97970,+8.9375,+3.3750,18*63$MTKG,41 29.74721 N,000 09.47910 W,326,000.1,080405,10,V,97960,+9.1250,+3.3750,18*68$MTKG,41 29.74765 N,000 09.47803 W,326,000.1,080415,11,V,97962,+9.2500,+3.3750,18*68$MTKG,41 29.74917 N,000 09.47841 W,327,000.2,080425,10,V,97963,+9.1875,+3.4375,19*6D$MTKG,41 29.74760 N,000 09.47709 W,329,000.1,080435,10,V,97957,+9.3750,+3.4375,19*61$MTKG,41 29.74763 N,000 09.47727 W,328,000.2,080445,11,V,97955,+9.3750,+3.4375,19*68$MTKG,41 29.74753 N,000 09.47742 W,327,000.1,080500,10,V,97954,+9.2500,+3.4375,20*68$MTKG,41 29.74759 N,000 09.47762 W,325,000.1,080510,11,V,97955,+9.0625,+3.5000,20*65$MTKG,41 29.74766 N,000 09.47773 W,324,000.2,080520,10,V,97955,+9.0625,+3.5000,20*69$MTKG,41 29.74779 N,000 09.47759 W,324,000.4,080530,10,V,97954,+8.8125,+3.5000,21*66$MTKG,41 29.74729 N,000 09.47777 W,324,000.0,080540,10,V,97957,+8.5625,+3.5625,21*64$MTKG,41 29.74751 N,000 09.47789 W,323,000.1,080550,9,V,97957,+8.0625,+3.5625,21*50$MTKG,41 29.74744 N,000 09.47809 W,323,000.1,080600,10,V,97955,+7.8125,+3.6250,22*69$MTKG,41 29.74725 N,000 09.47806 W,324,000.1,080610,11,V,97956,+7.5000,+3.6250,22*6E$MTKG,41 29.74689 N,000 09.47827 W,324,000.1,080620,11,V,97953,+7.1250,+3.6250,22*6F$MTKG,41 29.74692 N,000 09.47824 W,324,000.1,080630,11,V,97955,+6.9375,+3.6875,23*62$MTKG,41 29.74658 N,000 09.47847 W,324,000.2,080640,9,V,97952,+6.9375,+3.6875,23*5B$MTKG,41 29.74687 N,000 09.47833 W,324,000.3,080650,11,V,97954,+6.9375,+3.6875,23*65$MTKG,41 29.74687 N,000 09.47849 W,323,000.2,080705,10,V,97957,+7.0625,+3.7500,24*6C$MTKG,41 29.74690 N,000 09.47842 W,323,000.4,080715,11,V,97959,+7.1875,+3.7500,24*63$MTKG,41 29.74728 N,000 09.47819 W,324,000.1,080725,11,V,97951,+7.2500,+3.8125,24*66$MTKG,41 29.74710 N,000 09.47817 W,324,000.2,080735,8,V,97946,+7.4375,+3.8125,25*5C$MTKG,41 29.74721 N,000 09.47788 W,325,000.1,080745,10,V,97949,+7.2500,+3.8750,25*62$MTKG,41 29.74719 N,000 09.47813 W,325,000.1,080755,11,V,97948,+7.3125,+3.8750,25*67$MTKG,41 29.74746 N,000 09.47842 W,323,000.1,080805,10,V,97933,+7.8750,+3.8750,26*64$MTKG,41 29.74781 N,000 09.47868 W,323,000.2,080815,10,V,97948,+8.3125,+3.9375,26*6B$MTKG,41 29.74795 N,000 09.47905 W,324,000.4,080825,11,V,97949,+8.4375,+3.9375,26*66$MTKG,41 29.74813 N,000 09.47856 W,323,000.2,080835,10,V,97957,+8.4375,+3.9375,27*6F$MTKG,41 29.74844 N,000 09.47870 W,322,000.1,080850,10,V,97953,+8.0000,+4.0000,27*66$MTKG,41 29.74861 N,000 09.47842 W,321,000.0,080900,10,V,97955,+7.8750,+4.0000,27*65$MTKG,41 29.74868 N,000 09.47861 W,321,000.3,080910,10,V,97955,+7.7500,+4.0000,28*68$MTKG,41 29.74828 N,000 09.47874 W,321,000.0,080920,10,V,97947,+7.6250,+4.0625,28*69$MTKG,41 29.74837 N,000 09.47884 W,322,000.9,080930,10,V,97956,+7.5000,+4.0625,28*67$MTKG,41 29.74834 N,000 09.47888 W,322,000.2,080940,9,V,97950,+7.5000,+4.0625,29*5B$MTKG,41 29.74837 N,000 09.47880 W,323,000.4,080950,10,V,97949,+7.5000,+4.0625,29*66$MTKG,41 29.74784 N,000 09.47867 W,323,000.1,081000,10,V,97949,+7.3750,+4.1250,29*63$MTKG,41 29.74794 N,000 09.47842 W,322,000.5,081010,10,V,97952,+7.4375,+4.1250,30*67$MTKG,41 29.74767 N,000 09.47919 W,323,000.5,081020,10,V,97958,+7.7500,+4.1250,30*6B$MTKG,41 29.74496 N,000 09.48024 W,348,008.2,081035,11,V,97674,+7.3125,+4.1875,30*62$MTKG,41 29.73525 N,000 09.50503 W,410,020.0,081045,11,V,96933,+7.0000,+4.1875,31*69$MTKG,41 29.72876 N,000 09.53753 W,477,011.0,081055,11,V,96161,+6.8750,+4.1875,31*61$MTKG,41 29.73984 N,000 09.56970 W,539,018.8,081105,11,V,95434,+7.6875,+4.2500,32*66$MTKG,41 29.76095 N,000 09.61893 W,596,026.7,081115,11,V,94791,+8.5625,+4.2500,32*6E$MTKG,41 29.78992 N,000 09.67951 W,663,040.3,081125,11,V,94046,+9.0625,+4.2500,32*60$MTKG,41 29.81500 N,000 09.74362 W,727,033.9,081135,11,V,93368,+9.5625,+4.3125,33*69$MTKG,41 29.83132 N,000 09.80555 W,789,033.2,081145,11,V,92704,+8.9375,+4.3125,33*6D$MTKG,41 29.83927 N,000 09.86764 W,844,031.8,081155,11,V,92041,+8.4375,+4.3125,33*6B$MTKG,41 29.84486 N,000 09.93532 W,904,044.2,081205,11,V,91373,+8.8750,+4.3125,34*6D$MTKG,41 29.86425 N,000 10.03430 W,993,039.8,081220,11,V,90416,+10.4375,+4.3750,34*5A$MTKG,41 29.88843 N,000 10.09297 W,1054,026.4,081230,11,V,89762,+10.6875,+4.3750,34*68$MTKG,41 29.91400 N,000 10.13824 W,1117,028.8,081240,11,V,89051,+10.6875,+4.3750,35*67$MTKG,41 29.93784 N,000 10.18282 W,1178,033.4,081250,11,V,88399,+10.5625,+4.3750,35*67$MTKG,41 29.96155 N,000 10.21272 W,1236,013.7,081300,11,V,87752,+10.5000,+4.4375,35*68$MTKG,41 29.98582 N,000 10.23525 W,1295,029.0,081310,11,V,87153,+10.5625,+4.4375,36*6C$MTKG,41 30.00907 N,000 10.25636 W,1357,019.2,081320,11,V,86529,+10.5625,+4.4375,36*66$MTKG,41 30.03335 N,000 10.27867 W,1422,014.8,081330,11,V,85792,+10.1250,+4.4375,36*66$MTKG,41 30.06834 N,000 10.30575 W,1481,028.8,081340,11,V,85205,+9.6875,+4.5000,37*58$MTKG,41 30.10867 N,000 10.33704 W,1548,036.5,081350,11,V,84554,+9.4375,+4.5000,37*52$MTKG,41 30.16093 N,000 10.37501 W,1641,019.9,081405,11,V,83590,+9.0000,+4.5000,37*52$MTKG,41 30.20093 N,000 10.39859 W,1699,026.9,081415,11,V,83037,+8.9375,+4.5625,38*5E$MTKG,41 30.23684 N,000 10.41814 W,1761,031.0,081425,11,V,82371,+8.8750,+4.5625,38*53$MTKG,41 30.26425 N,000 10.45544 W,1822,020.2,081435,11,V,81774,+8.6875,+4.5625,38*5C$MTKG,41 30.29405 N,000 10.48472 W,1883,026.7,081445,11,V,81180,+8.4375,+4.5625,39*52$MTKG,41 30.32330 N,000 10.51316 W,1943,015.5,081455,11,V,80582,+7.6250,+4.6250,39*53$MTKG,41 30.34396 N,000 10.54620 W,2003,015.9,081505,11,V,79994,+7.6250,+4.6250,39*57$MTKG,41 30.37050 N,000 10.58206 W,2063,032.5,081515,11,V,79382,+7.3750,+4.6250,40*5C$MTKG,41 30.39927 N,000 10.61768 W,2124,016.8,081525,10,V,78815,+6.5625,+4.6875,40*5A$MTKG,41 30.43550 N,000 10.65673 W,2179,025.3,081535,11,V,78299,+6.8125,+4.6875,40*53$MTKG,41 30.50426 N,000 10.71849 W,2275,033.8,081550,11,V,77406,+6.1875,+4.6875,41*58$MTKG,41 30.55612 N,000 10.75251 W,2335,036.3,081600,11,V,76809,+5.6875,+4.6875,41*54$MTKG,41 30.61229 N,000 10.79496 W,2397,048.6,081610,11,V,76209,+5.4375,+4.7500,41*56$MTKG,41 30.66944 N,000 10.83611 W,2466,041.8,081620,11,V,75595,+4.6875,+4.7500,42*5E$MTKG,41 30.71553 N,000 10.87239 W,2528,032.7,081630,11,V,75022,+4.3125,+4.8125,42*55$MTKG,41 30.80085 N,000 10.95344 W,2663,044.6,081650,11,V,73765,+3.8125,+4.8125,43*58$MTKG,41 30.83649 N,000 11.00292 W,2725,024.5,081700,11,V,73205,+3.8125,+4.8125,43*5B
$MTKG,41 30.87174 N,000 11.05278 W,2787,042.6,081710,10,V,72641,+3.5000,+4.8125,43*52
$MTKG,41 30.93540 N,000 11.12219 W,2886,037.5,081725,11,V,71786,+3.5000,+4.8125,44*53
$MTKG,41 30.97240 N,000 11.17078 W,2955,031.7,081735,11,V,71148,+2.8125,+4.8750,44*50
$MTKG,41 31.01855 N,000 11.21517 W,3017,036.9,081745,11,V,70606,+2.5625,+4.8750,44*5F
